,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density
61,61,249.29,990.1136933,51.0,1770000.0,99,135.07783,36.0252137,0.11507169390219178
62,62,276.76,990.1136933,126.5,0.0,386,135.0956062,36.0252137,2.5875747211696063
63,63,72.89,990.1136933,0.0,0.0,140,135.1133824,36.0252137,0.46828641208325095
64,64,14.07,584.6600413,0.0,0.0,27,135.1311586,36.0252137,-0.5052078111962536
65,65,0.0,381.9332153,0.0,0.0,1,135.1489349,36.0252137,-0.7291976324818034
66,66,0.0,381.9332153,0.0,0.0,1,135.1667111,36.0252137,-0.7291976324818034
67,67,0.0,0.0,0.0,0.0,0,135.1844873,36.0252137,
68,68,1.0,519.790184,0.0,0.0,1,134.8289628,36.04033519,-0.7291976324818034
69,69,13.16,519.790184,0.0,0.0,6,134.846739,36.04033519,-0.6861226668499668
70,70,13.37,519.790184,0.0,0.0,15,134.8645153,36.04033519,-0.6085877287126612
71,71,25.08,519.790184,51.0,0.0,40,134.8822915,36.04033519,-0.39321290055347874
72,72,16.36,519.790184,0.0,0.0,16,134.9000677,36.04033519,-0.5999727355862938
73,73,0.0,519.790184,0.0,0.0,1,134.9178439,36.04033519,-0.7291976324818034
74,74,5.1,963.7237011,0.0,0.0,2,134.9356202,36.04033519,-0.720582639355436
75,75,144.93,963.7237011,0.0,0.0,28,134.9533964,36.04033519,-0.4965928180698863
76,76,162.22,963.7237011,0.0,0.0,281,134.9711726,36.04033519,1.68300044290104
77,77,5.95,872.049888,0.0,0.0,12,134.9889488,36.04033519,-0.634432708091763
78,78,23.71,790.0259499,0.0,0.0,19,135.0067251,36.04033519,-0.5741277562071919
79,79,29.81,780.3760749,0.0,0.0,62,135.0245013,36.04033519,-0.2036830517733982
80,80,23.69,793.9573805,0.0,0.0,27,135.0422775,36.04033519,-0.5052078111962536
81,81,16.31,942.1736662,0.0,0.0,35,135.0600537,36.04033519,-0.43628786618531523
82,82,42.66,990.1136933,0.0,0.0,37,135.07783,36.04033519,-0.41905787993258065
83,83,77.67,990.1136933,0.0,0.0,110,135.0956062,36.04033519,0.20983661829223205
84,84,0.0,888.7502803,0.0,0.0,18,135.1133824,36.04033519,-0.5827427493335593
85,85,1.0,468.8161407,0.0,0.0,7,135.1311586,36.04033519,-0.6775076737235995
86,86,12.22,381.9332153,0.0,0.0,19,135.1489349,36.04033519,-0.5741277562071919
87,87,2.33,381.9332153,0.0,0.0,5,135.1667111,36.04033519,-0.6947376599763341
88,88,3.3,381.9332153,0.0,0.0,6,135.1844873,36.04033519,-0.6861226668499668
89,89,1.35,381.9332153,0.0,0.0,3,135.2022635,36.04033519,-0.7119676462290687
90,90,0.0,0.0,0.0,0.0,0,135.2200397,36.04033519,
91,91,16.99,519.790184,0.0,0.0,14,134.8289628,36.05545667,-0.6172027218390285
92,92,22.53,519.790184,65.0,0.0,16,134.846739,36.05545667,-0.5999727355862938
93,93,40.27,519.790184,412.0,0.0,55,134.8645153,36.05545667,-0.26398800365796926
94,94,137.6,519.790184,178.0,0.0,21,134.8822915,36.05545667,-0.5568977699544574
95,95,181.08,519.790184,0.0,0.0,292,134.9000677,36.05545667,1.77776536729108
96,96,32.75,519.790184,0.0,0.0,33,134.9178439,36.05545667,-0.4535178524380498
97,97,13.36,519.790184,0.0,950000.0,26,134.9356202,36.05545667,-0.5138228043226208
