k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度
92,22.53,519.790184,65,0,16,134.846739,36.05545667
93,40.27,519.790184,412,0,55,134.8645153,36.05545667
94,137.6,519.790184,178,0,21,134.8822915,36.05545667
95,181.08,519.790184,0,0,292,134.9000677,36.05545667
96,32.75,519.790184,0,0,33,134.9178439,36.05545667
97,13.36,519.790184,0,950000,26,134.9356202,36.05545667
98,9.4,786.1502942,0,0,10,134.9533964,36.05545667
99,35.58,846.9935523,0,0,52,134.9711726,36.05545667
100,25.55,780.3760749,0,0,38,134.9889488,36.05545667
101,7.28,780.3760749,0,0,18,135.0067251,36.05545667
102,6.95,780.3760749,114,0,20,135.0245013,36.05545667
103,31.88,780.3760749,0,0,48,135.0422775,36.05545667
104,24.06,970.138682,731,0,42,135.0600537,36.05545667
105,51.26,990.1136933,2503.5,0,59,135.07783,36.05545667
106,27.54,978.63859,0,0,53,135.0956062,36.05545667
107,18.9,381.9332153,0,0,25,135.1133824,36.05545667
108,29.32,381.9332153,0,0,13,135.1311586,36.05545667
109,53.21,381.9332153,36,0,84,135.1489349,36.05545667
110,39.11,381.9332153,0,0,62,135.1667111,36.05545667
111,5.98,381.9332153,0,0,11,135.1844873,36.05545667
112,3.45,401.6804765,0,0,10,135.2022635,36.05545667
113,2.33,414.8453173,0,0,3,135.2200397,36.05545667
114,0,0,0,0,0,135.237816,36.05545667
115,0,0,0,0,0,135.2555922,36.05545667
116,8.2,0,0,0,0,134.8289628,36.07057815
117,23.03,519.790184,0,0,36,134.846739,36.07057815
118,8.94,519.790184,0,0,13,134.8645153,36.07057815
119,16.93,519.790184,0,0,12,134.8822915,36.07057815
120,25.36,519.790184,0,0,35,134.9000677,36.07057815
121,15.58,519.790184,0,0,28,134.9178439,36.07057815
122,2.35,519.790184,0,0,13,134.9356202,36.07057815
123,18.63,529.2279723,0,0,28,134.9533964,36.07057815
124,21.84,762.6923138,0,0,22,134.9711726,36.07057815
125,266.28,780.3760749,0,0,71,134.9889488,36.07057815
126,327.79,780.3760749,118,0,509,135.0067251,36.07057815
127,85.97,780.3760749,0,0,131,135.0245013,36.07057815
128,15.88,780.3760749,0,0,31,135.0422775,36.07057815
129,20.74,0,0,0,33,135.0600537,36.07057815
130,14.65,990.1136933,0,0,23,135.07783,36.07057815
131,30.55,488.3647989,0,0,40,135.0956062,36.07057815
132,18.04,381.9332153,0,0,21,135.1133824,36.07057815
133,227.58,381.9332153,0,0,57,135.1311586,36.07057815
134,262.92,381.9332153,0,0,423,135.1489349,36.07057815
135,63.63,381.9332153,175,0,91,135.1667111,36.07057815
136,6.75,381.9332153,0,0,12,135.1844873,36.07057815
137,14.87,408.6742981,0,0,16,135.2022635,36.07057815
138,8.96,414.8453173,0,0,9,135.2200397,36.07057815
139,0,0,0,0,0,135.237816,36.07057815
140,0,0,0,0,0,135.2555922,36.07057815
141,0,0,0,0,0,135.2733684,36.07057815
142,0,0,0,0,0,135.2911446,36.07057815
143,0,0,0,0,0,135.3089209,36.07057815
144,0,658.1882575,0,0,3,134.7400817,36.08569964
145,2.18,519.790184,0,0,1,134.8289628,36.08569964
146,12.5,519.790184,0,0,15,134.846739,36.08569964
147,21.09,519.790184,0,0,28,134.8645153,36.08569964
148,9.72,519.790184,0,0,12,134.8822915,36.08569964
149,14.18,519.790184,0,0,21,134.9000677,36.08569964
150,6.07,548.1035491,0,0,14,134.9178439,36.08569964
151,14.31,530.8009371,0,0,24,134.9356202,36.08569964
152,5.68,625.4934137,0,0,10,134.9533964,36.08569964
153,8.2,675.2750127,81,0,11,134.9711726,36.08569964
154,56.45,772.0885359,0,0,31,134.9889488,36.08569964
155,91.91,780.3760749,140,0,115,135.0067251,36.08569964
156,30.19,780.3760749,92,0,51,135.0245013,36.08569964
157,8.25,780.3760749,0,0,18,135.0422775,36.08569964
158,32.9,0,0,0,35,135.0600537,36.08569964
159,77.01,381.9332153,361,0,77,135.07783,36.08569964
160,53.28,381.9332153,0,0,84,135.0956062,36.08569964
161,2.52,381.9332153,0,0,7,135.1133824,36.08569964
162,7.48,381.9332153,0,0,16,135.1311586,36.08569964
163,5.1,381.9332153,565,0,16,135.1489349,36.08569964
164,19.7,381.9332153,0,0,29,135.1667111,36.08569964
165,49.84,413.2780743,0,0,42,135.1844873,36.08569964
166,58.3,414.8453173,566,0,70,135.2022635,36.08569964
167,26.41,414.8453173,0,0,27,135.2200397,36.08569964
168,6.79,414.8453173,0,0,10,135.237816,36.08569964
169,22.12,364.7729078,0,0,11,135.2555922,36.08569964
170,41.23,359.7656668,19,6475000,51,135.2733684,36.08569964
171,1.35,359.7656668,0,0,1,135.2911446,36.08569964
172,0,0,0,0,0,135.3089209,36.08569964
173,0,0,0,0,0,135.3266971,36.08569964
174,0,0,0,0,0,135.3444733,36.08569964
175,0,658.1882575,0,0,2,134.686753,36.10082112
176,0,0,0,0,0,134.7045293,36.10082112
177,0,658.1882575,0,0,1,134.7223055,36.10082112
178,6.75,658.1882575,0,0,10,134.7400817,36.10082112
179,0,0,0,0,0,134.7578579,36.10082112
180,2.69,519.790184,0,0,1,134.846739,36.10082112
181,97.13,560.4452723,0,0,13,134.8645153,36.10082112
182,157.7,651.9192212,0,0,203,134.8822915,36.10082112
183,44.89,635.4030915,49,0,88,134.9000677,36.10082112
184,8.53,651.9192212,0,0,12,134.9178439,36.10082112
185,93.85,630.7785752,0,0,25,134.9356202,36.10082112
186,101.7,651.9192212,0,0,179,134.9533964,36.10082112
187,19.03,651.9192212,192,0,41,134.9711726,36.10082112
188,3.45,662.623959,0,0,12,134.9889488,36.10082112
189,9.34,774.7909943,0,0,23,135.0067251,36.10082112
190,19.76,780.3760749,0,0,26,135.0245013,36.10082112
191,3.5,0,0,0,17,135.0422775,36.10082112
192,19.23,0,0,0,22,135.0600537,36.10082112
193,37.78,0,0,0,57,135.07783,36.10082112
194,8.45,381.9332153,0,0,18,135.0956062,36.10082112
195,9.95,381.9332153,0,0,22,135.1133824,36.10082112
196,13.15,381.9332153,0,0,27,135.1311586,36.10082112
197,5.4,398.3892663,0,0,14,135.1489349,36.10082112
198,35.7,414.1139372,0,0,45,135.1667111,36.10082112
199,36.85,414.8453173,0,0,30,135.1844873,36.10082112
200,91.96,414.8453173,0,0,45,135.2022635,36.10082112
201,82.92,414.8453173,0,1160000,137,135.2200397,36.10082112
202,36.22,414.8453173,0,0,3,135.237816,36.10082112
203,99.76,364.4867797,133,3856666.667,70,135.2555922,36.10082112
204,120.94,359.7656668,122,4481111.111,163,135.2733684,36.10082112
205,39.63,359.7656668,0,1482597.403,47,135.2911446,36.10082112
206,30.83,359.7656668,569,0,44,135.3089209,36.10082112
207,2.1,359.7656668,95,0,5,135.3266971,36.10082112
208,0,0,0,0,0,135.3444733,36.10082112
209,0,0,0,0,0,135.3622495,36.10082112
210,2.2,0,0,0,0,135.3800258,36.10082112
211,6.4,658.1882575,0,0,12,134.686753,36.1159426
212,8.59,658.1882575,0,0,14,134.7045293,36.1159426
213,13.29,658.1882575,0,0,21,134.7223055,36.1159426
214,0,658.1882575,0,0,3,134.7400817,36.1159426
215,2.5,658.1882575,0,0,3,134.7578579,36.1159426
216,5.08,651.9192212,0,0,5,134.8289628,36.1159426
217,8.48,651.9192212,0,0,6,134.846739,36.1159426
218,29.61,651.9192212,0,0,24,134.8645153,36.1159426
219,64.72,651.9192212,0,0,48,134.8822915,36.1159426
220,71.74,651.9192212,0,0,103,134.9000677,36.1159426
221,21.85,651.9192212,0,0,21,134.9178439,36.1159426
222,112.5,651.9192212,79,0,51,134.9356202,36.1159426
223,140.07,651.9192212,245,0,233,134.9533964,36.1159426
224,32.9,662.6998292,0,0,49,134.9711726,36.1159426
225,29.37,765.1156058,0,0,28,134.9889488,36.1159426
226,18.75,651.9192212,0,0,25,135.0067251,36.1159426
227,34.77,1074.519057,0,0,13,135.0245013,36.1159426
228,79.22,0,0,0,120,135.0422775,36.1159426
229,18.44,0,0,0,20,135.0600537,36.1159426
230,52.2,0,0,0,68,135.07783,36.1159426
231,21.46,381.9332153,0,0,22,135.0956062,36.1159426
232,11.21,383.3045529,0,0,24,135.1133824,36.1159426
233,9.69,410.457037,0,0,15,135.1311586,36.1159426
234,121.68,414.8453173,0,0,17,135.1489349,36.1159426
235,141.4,414.8453173,0,1380000,235,135.1667111,36.1159426
236,39.95,414.8453173,0,0,45,135.1844873,36.1159426
237,114.56,414.8453173,0,0,16,135.2022635,36.1159426
238,144.08,414.8453173,256,1434285.714,223,135.2200397,36.1159426
239,133.71,411.4558003,22,1602926.829,65,135.237816,36.1159426
240,346.01,364.2206386,22,1494127.273,272,135.2555922,36.1159426
241,199.47,359.2543095,229.5,4520833.333,370,135.2733684,36.1159426
242,13.34,237.3407132,0,0,17,135.2911446,36.1159426
243,2.35,312.4651166,541,0,4,135.3089209,36.1159426
244,3.33,359.7656668,0,0,5,135.3266971,36.1159426
245,0,359.7656668,0,0,1,135.3444733,36.1159426
246,0,359.7656668,0,0,2,135.3622495,36.1159426
247,1.05,359.7656668,0,0,2,135.3800258,36.1159426
248,0,0,0,0,0,135.397802,36.1159426
249,0,0,0,0,0,135.4155782,36.1159426
250,0,0,0,0,0,135.4333544,36.1159426
251,0,0,0,0,0,135.4511307,36.1159426
252,0,170.5634658,0,0,1,135.4689069,36.1159426
253,2.34,0,0,0,0,134.686753,36.13106409
254,9.69,658.1882575,0,0,16,134.7045293,36.13106409
255,9.18,658.1882575,0,0,22,134.7223055,36.13106409
256,11.2,658.1882575,0,0,18,134.7400817,36.13106409
257,13.06,658.1882575,0,0,13,134.7578579,36.13106409
258,2.3,658.1882575,0,0,4,134.7756341,36.13106409
259,0,0,0,0,0,134.7934104,36.13106409
260,2.18,658.1882575,0,0,3,134.8111866,36.13106409
261,2.7,857.4351293,0,0,5,134.8289628,36.13106409
262,8.94,737.5508495,0,0,12,134.846739,36.13106409
263,3.78,780.3666637,0,0,8,134.8645153,36.13106409
264,8.98,651.9192212,0,0,9,134.8822915,36.13106409
265,9.55,651.9192212,0,0,21,134.9000677,36.13106409
266,26.16,651.9192212,0,0,34,134.9178439,36.13106409
267,18.57,651.9192212,0,0,28,134.9356202,36.13106409
268,18.66,651.9192212,0,0,25,134.9533964,36.13106409
269,8.05,1079.550007,0,0,21,134.9711726,36.13106409
270,0,1180.169016,0,0,11,134.9889488,36.13106409
271,7.38,747.9646384,39,0,11,135.0067251,36.13106409
272,10.75,1180.169016,0,0,24,135.0245013,36.13106409
273,136.74,1180.169016,0,0,13,135.0422775,36.13106409
274,371.35,0,0,0,325,135.0600537,36.13106409
275,270.85,0,204,0,488,135.07783,36.13106409
276,18.09,381.9332153,0,0,26,135.0956062,36.13106409
277,19.71,401.6804765,0,0,30,135.1133824,36.13106409
278,6.24,414.8453173,0,0,10,135.1311586,36.13106409
279,8.56,414.8453173,0,0,14,135.1489349,36.13106409
280,21.65,414.8453173,0,0,25,135.1667111,36.13106409
281,28.36,414.8453173,0,0,37,135.1844873,36.13106409
282,20.3,414.8453173,0,0,24,135.2022635,36.13106409
283,17.3,414.8453173,0,0,20,135.2200397,36.13106409
284,94.71,414.8453173,0,0,40,135.237816,36.13106409
285,82.2,386.5611724,0,1786250,111,135.2555922,36.13106409
286,75.57,349.8942476,0,0,115,135.2733684,36.13106409
287,28.23,170.5634658,0,0,29,135.2911446,36.13106409
288,16.08,190.479487,0,0,19,135.3089209,36.13106409
289,3.3,170.5634658,0,0,8,135.3266971,36.13106409
290,3.83,170.5634658,0,0,2,135.3444733,36.13106409
291,1.15,170.5634658,0,0,4,135.3622495,36.13106409
292,0,170.5634658,0,0,1,135.3800258,36.13106409
293,1.15,170.5634658,0,0,3,135.397802,36.13106409
294,0,170.5634658,0,0,4,135.4155782,36.13106409
295,1.18,170.5634658,0,0,1,135.4333544,36.13106409
296,0,0,0,0,0,135.4511307,36.13106409
297,1.15,170.5634658,0,0,1,135.4689069,36.13106409
298,0,0,0,0,0,135.4866831,36.13106409
299,0,0,0,0,0,135.5044593,36.13106409
300,0,0,0,0,0,135.5222356,36.13106409
301,0,170.5634658,0,0,1,135.5400118,36.13106409
302,1,0,0,0,1,135.557788,36.13106409
303,0,0,0,0,0,135.5755642,36.13106409
304,1.15,0,0,0,1,135.5933404,36.13106409
305,4.48,0,0,0,4,135.6111167,36.13106409
306,2.5,0,0,0,2,135.6288929,36.13106409
307,1.25,0,0,0,2,135.6466691,36.13106409
308,0,0,0,0,0,135.6644453,36.13106409
309,0,0,0,0,0,135.6822216,36.13106409
310,0,0,0,0,0,135.6999978,36.13106409
311,2.54,658.1882575,0,0,3,134.7045293,36.14618557
312,21.5,658.1882575,256.5,0,30,134.7223055,36.14618557
313,13.65,658.1882575,0,0,20,134.7400817,36.14618557
314,17.89,658.1882575,0,0,14,134.7578579,36.14618557
315,27.99,658.1882575,0,0,40,134.7756341,36.14618557
316,37.89,658.1882575,0,0,44,134.7934104,36.14618557
317,30.78,658.1882575,0,0,43,134.8111866,36.14618557
318,6.15,803.1941815,0,0,7,134.8289628,36.14618557
319,5.05,1165.708991,0,0,12,134.846739,36.14618557
320,17.36,1165.708991,0,0,21,134.8645153,36.14618557
321,20.38,673.3271282,0,0,24,134.8822915,36.14618557
322,16.03,1141.242812,0,0,21,134.9000677,36.14618557
323,3.68,1072.29267,0,0,11,134.9178439,36.14618557
324,8.52,703.2981982,117,0,10,134.9356202,36.14618557
325,18.11,678.3317109,0,0,20,134.9533964,36.14618557
326,10.75,1180.169016,0,0,12,134.9711726,36.14618557
327,12.3,1180.169016,0,0,31,134.9889488,36.14618557
328,7.47,1180.169016,0,0,17,135.0067251,36.14618557
329,9.39,1180.169016,0,0,18,135.0245013,36.14618557
330,16.18,1180.169016,0,0,16,135.0422775,36.14618557
331,71.47,0,0,0,39,135.0600537,36.14618557
332,113.45,0,204,0,178,135.07783,36.14618557
333,6.25,0,0,0,13,135.0956062,36.14618557
334,7.69,0,0,0,10,135.1133824,36.14618557
335,5,494.4307882,0,0,12,135.1311586,36.14618557
336,8.63,414.8453173,0,0,10,135.1489349,36.14618557
337,12.91,414.8453173,0,0,22,135.1667111,36.14618557
338,54.12,414.8453173,0,0,14,135.1844873,36.14618557
339,57.83,414.8453173,0,0,96,135.2022635,36.14618557
340,17.49,414.8453173,0,0,25,135.2200397,36.14618557
341,18.17,414.8453173,0,0,24,135.237816,36.14618557
342,18.48,414.8453173,0,0,32,135.2555922,36.14618557
343,10.29,666.3760454,136,0,18,135.2733684,36.14618557
344,24.34,727.9303792,0,0,26,135.2911446,36.14618557
345,109.84,192.5203442,0,1931250,66,135.3089209,36.14618557
346,147.16,170.5634658,266,905576.9231,209,135.3266971,36.14618557
347,16.93,170.5634658,111,0,20,135.3444733,36.14618557
348,6.6,170.5634658,5836,0,8,135.3622495,36.14618557
349,0,170.5634658,0,0,1,135.3800258,36.14618557
350,8.38,170.5634658,0,0,7,135.397802,36.14618557
351,3.39,170.5634658,5864,0,4,135.4155782,36.14618557
352,4.54,170.5634658,0,0,5,135.4333544,36.14618557
353,11.75,170.5634658,0,0,18,135.4511307,36.14618557
354,13.3,170.5634658,0,0,8,135.4689069,36.14618557
355,13.74,170.5634658,0,0,23,135.4866831,36.14618557
356,10.42,170.5634658,0,702222.2222,12,135.5044593,36.14618557
357,4.64,170.5634658,0,0,5,135.5222356,36.14618557
358,1,170.5634658,0,0,3,135.5400118,36.14618557
359,1.34,0,0,0,0,135.557788,36.14618557
360,14.83,0,0,739000,10,135.5755642,36.14618557
361,7.83,0,0,0,12,135.5933404,36.14618557
362,35,0,0,0,7,135.6111167,36.14618557
363,95.47,0,0,0,68,135.6288929,36.14618557
364,42.42,0,183.3333333,1455862.069,82,135.6466691,36.14618557
365,8.25,42.86625018,0,0,6,135.6644453,36.14618557
366,7.38,42.86625018,0,0,10,135.6822216,36.14618557
367,5.29,42.86625018,0,0,5,135.6999978,36.14618557
368,4.61,0,0,0,5,135.717774,36.14618557
369,2.54,0,0,0,0,135.7355502,36.14618557
370,13.05,658.1882575,0,0,21,134.7223055,36.16130705
371,7.93,658.1882575,0,0,13,134.7400817,36.16130705
372,119.45,658.1882575,0,0,12,134.7578579,36.16130705
373,188.95,658.1882575,0,0,274,134.7756341,36.16130705
374,73.42,658.1882575,0,0,96,134.7934104,36.16130705
375,31.76,682.3559115,0,0,42,134.8111866,36.16130705
376,2.4,1165.708991,0,0,7,134.8289628,36.16130705
377,6.21,1165.708991,0,0,20,134.846739,36.16130705
378,4.36,1165.708991,0,0,28,134.8645153,36.16130705
379,6.1,823.1824779,0,0,9,134.8822915,36.16130705
380,19.85,1165.708991,0,0,19,134.9000677,36.16130705
381,10.1,1165.708991,18750,0,21,134.9178439,36.16130705
382,10.8,1165.708991,0,0,21,134.9356202,36.16130705
383,7.49,1113.441247,0,0,9,134.9533964,36.16130705
384,11.1,1180.169016,0,0,23,134.9711726,36.16130705
385,11.8,1180.169016,0,0,13,134.9889488,36.16130705
386,10.7,1180.169016,0,0,22,135.0067251,36.16130705
387,13.94,1180.169016,0,0,12,135.0245013,36.16130705
388,57.63,1180.169016,0,0,65,135.0422775,36.16130705
389,43.35,1180.169016,0,0,65,135.0600537,36.16130705
390,7.8,1180.169016,0,0,21,135.07783,36.16130705
391,9.68,0,0,0,16,135.0956062,36.16130705
392,15.49,653.6017301,0,0,23,135.1133824,36.16130705
393,21.05,653.6017301,111,0,32,135.1311586,36.16130705
394,2.4,483.0614352,0,0,7,135.1489349,36.16130705
395,18.71,414.8453173,0,0,24,135.1667111,36.16130705
396,25.68,414.8453173,0,0,9,135.1844873,36.16130705
397,63.36,414.8453173,0,0,83,135.2022635,36.16130705
398,33.31,414.8453173,0,0,38,135.2200397,36.16130705
399,42.39,414.8453173,0,0,58,135.237816,36.16130705
400,14.98,414.8453173,0,0,21,135.2555922,36.16130705
401,157.95,895.1404532,0,0,32,135.2733684,36.16130705
402,175.61,895.1404532,0,1400000,281,135.2911446,36.16130705
403,33.46,880.6489135,0,0,50,135.3089209,36.16130705
404,27.66,329.0646818,0,0,32,135.3266971,36.16130705
405,22.33,170.5634658,188,0,24,135.3444733,36.16130705
406,5.9,170.5634658,5890,0,16,135.3622495,36.16130705
407,13.28,170.5634658,0,0,3,135.3800258,36.16130705
408,25.39,271.6060433,0,643913.0435,40,135.397802,36.16130705
409,6.01,1089.132352,0,0,11,135.4155782,36.16130705
410,20.83,1036.642702,0,0,14,135.4333544,36.16130705
411,36.01,170.5634658,0,0,21,135.4511307,36.16130705
412,39.67,170.5634658,35,595555.5556,60,135.4689069,36.16130705
413,27.58,170.5634658,5804,0,11,135.4866831,36.16130705
414,65.03,170.5634658,0,920000,76,135.5044593,36.16130705
415,26.11,170.5634658,0,640000,37,135.5222356,36.16130705
416,14.6,170.5634658,0,0,18,135.5400118,36.16130705
417,1.15,170.5634658,0,0,2,135.557788,36.16130705
418,2.3,772.0509011,0,0,2,135.5755642,36.16130705
419,12.8,772.0509011,0,740000,9,135.5933404,36.16130705
420,39.49,772.0509011,0,0,28,135.6111167,36.16130705
421,95.49,0,0,0,28,135.6288929,36.16130705
422,105.18,0,0,1636818.182,169,135.6466691,36.16130705
423,14.31,42.86625018,0,0,18,135.6644453,36.16130705
424,67.08,42.86625018,0,0,16,135.6822216,36.16130705
425,54.58,42.86625018,0,0,94,135.6999978,36.16130705
426,4.25,0,0,0,6,135.717774,36.16130705
427,1.25,0,0,0,1,135.7355502,36.16130705
428,0,0,0,0,0,135.7533265,36.16130705
429,0,0,0,0,0,135.7711027,36.16130705
430,156.96,0,0,0,0,134.686753,36.17642854
431,213.84,658.1882575,61,850000,330,134.7045293,36.17642854
432,49.54,658.1882575,0,0,55,134.7223055,36.17642854
433,54.34,658.1882575,0,0,62,134.7400817,36.17642854
434,18.18,658.1882575,0,0,26,134.7578579,36.17642854
435,7.83,658.1882575,0,0,12,134.7756341,36.17642854
436,35.32,658.1882575,0,0,34,134.7934104,36.17642854
437,13.5,875.6971435,0,0,21,134.8111866,36.17642854
438,22.24,1165.708991,37,0,29,134.8289628,36.17642854
439,128.02,1165.708991,0,0,15,134.846739,36.17642854
440,294.37,1165.708991,204,0,244,134.8645153,36.17642854
441,260.57,1165.708991,468.1,0,441,134.8822915,36.17642854
442,19.85,1165.708991,585,0,27,134.9000677,36.17642854
443,21.35,1165.708991,0,0,32,134.9178439,36.17642854
444,20.83,1165.708991,0,0,33,134.9356202,36.17642854
445,1.2,1180.169016,0,0,4,134.9533964,36.17642854
446,5.8,1180.169016,0,0,14,134.9711726,36.17642854
447,3.3,1180.169016,0,0,13,134.9889488,36.17642854
448,3.55,1180.169016,0,0,16,135.0067251,36.17642854
449,381.62,1180.169016,0,0,24,135.0245013,36.17642854
450,537.54,1180.169016,92.2,0,851,135.0422775,36.17642854
451,203.07,1180.169016,0,0,261,135.0600537,36.17642854
452,99.06,1180.169016,0,0,122,135.07783,36.17642854
453,16.43,1180.169016,0,0,24,135.0956062,36.17642854
454,12.67,653.6017301,0,0,13,135.1133824,36.17642854
455,35.54,653.6017301,0,0,53,135.1311586,36.17642854
456,10.61,644.0514736,0,0,25,135.1489349,36.17642854
457,10.3,671.3596355,0,0,17,135.1667111,36.17642854
458,15.9,3395.514819,0,0,17,135.1844873,36.17642854
459,15.9,3581.806663,0,0,28,135.2022635,36.17642854
460,12.65,1998.32599,0,0,14,135.2200397,36.17642854
461,18.6,694.283083,0,0,34,135.237816,36.17642854
462,7.17,414.8453173,0,0,12,135.2555922,36.17642854
463,17.2,895.1404532,0,0,14,135.2733684,36.17642854
464,33.82,895.1404532,0,0,44,135.2911446,36.17642854
465,10.85,895.1404532,0,0,13,135.3089209,36.17642854
466,19.91,895.1404532,0,0,28,135.3266971,36.17642854
467,6.4,873.3005372,0,0,7,135.3444733,36.17642854
468,3.45,1068.71971,0,0,9,135.3622495,36.17642854
469,2.33,731.9111186,0,0,9,135.3800258,36.17642854
470,9.92,1089.132352,0,0,11,135.397802,36.17642854
471,4.71,1180.989241,0,0,7,135.4155782,36.17642854
472,16.58,1180.989241,0,0,19,135.4333544,36.17642854
473,1.15,1180.989241,0,0,7,135.4511307,36.17642854
