省份,城市,地区,分类,店名,店铺id,人均,地址,网址
上海市,上海市,新天地/马当路,美食,苏陀供(环宇荟店),G3pQkueToOOqitqi,44,新天地/马当路,http://www.dianping.com/shop/G3pQkueToOOqitqi
上海市,上海市,新天地/马当路,美食,席作·福建会馆,lavsNEb6dSYVqAuY,537,新天地/马当路,http://www.dianping.com/shop/lavsNEb6dSYVqAuY
上海市,上海市,新天地/马当路,美食,顽固烧き鸟(上海广场店),G6Cr71JVLqddQonV,242,新天地/马当路,http://www.dianping.com/shop/G6Cr71JVLqddQonV
上海市,上海市,新天地/马当路,美食,好牛烧肉酒场(马当路店),H9QOtGiB3GfpuBlc,273,新天地/马当路,http://www.dianping.com/shop/H9QOtGiB3GfpuBlc
上海市,上海市,新天地/马当路,美食,杨柳蔬菜行,l8MBQ0Fw1YrwLMuX,,新天地/马当路,http://www.dianping.com/shop/l8MBQ0Fw1YrwLMuX
上海市,上海市,新天地/马当路,美食,饺味记,l89yVk0wQOAXgET4,23,新天地/马当路,http://www.dianping.com/shop/l89yVk0wQOAXgET4
上海市,上海市,新天地/马当路,美食,宁波糕团,l61pucNwHq1cwisz,,新天地/马当路,http://www.dianping.com/shop/l61pucNwHq1cwisz
上海市,上海市,新天地/马当路,美食,SamuiTea苏梅(徐家汇路店),k8qUziqEwVB2Va7e,22,新天地/马当路,http://www.dianping.com/shop/k8qUziqEwVB2Va7e
上海市,上海市,新天地/马当路,美食,得龙烧腊(新天地南里食集店),EBVcM7u3VAAAqFg0,86,新天地/马当路,http://www.dianping.com/shop/EBVcM7u3VAAAqFg0
上海市,上海市,新天地/马当路,美食,artemis摩登空间,G2VPe2KwGnkv7wA3,125,新天地/马当路,http://www.dianping.com/shop/G2VPe2KwGnkv7wA3
上海市,上海市,新天地/马当路,美食,孔教练手抓饭·羊肉串,G4x04Zdp1u8G8ZUF,,新天地/马当路,http://www.dianping.com/shop/G4x04Zdp1u8G8ZUF
上海市,上海市,新天地/马当路,美食,molabo墨拿(新天地店),l4eueCE6ncvtfRWl,47,新天地/马当路,http://www.dianping.com/shop/l4eueCE6ncvtfRWl
上海市,上海市,新天地/马当路,美食,阿模灵乳鸭粉丝汤,H7gKHmalLF8SLa0L,,新天地/马当路,http://www.dianping.com/shop/H7gKHmalLF8SLa0L
上海市,上海市,新天地/马当路,美食,帮购达菜篮子(马当路店),k2PWKjzbgEK6mjYU,,新天地/马当路,http://www.dianping.com/shop/k2PWKjzbgEK6mjYU
上海市,上海市,新天地/马当路,美食,香料集市新疆餐厅(马当路店),H4ZNbVX5Euaws5U2,,新天地/马当路,http://www.dianping.com/shop/H4ZNbVX5Euaws5U2
上海市,上海市,新天地/马当路,美食,三皇九府,Ha5NE37CgucP7TY6,,新天地/马当路,http://www.dianping.com/shop/Ha5NE37CgucP7TY6
上海市,上海市,新天地/马当路,美食,魔都三兄弟(环宇荟店),l7bI9Rtayjgmn1Vk,29,新天地/马当路,http://www.dianping.com/shop/l7bI9Rtayjgmn1Vk
上海市,上海市,新天地/马当路,美食,荣耀厨房,l40WUUDkoSz2m6f8,157,新天地/马当路,http://www.dianping.com/shop/l40WUUDkoSz2m6f8
上海市,上海市,新天地/马当路,美食,星巴克(上海红双喜大厦店),H6WoWt0BH218WTd6,46,新天地/马当路,http://www.dianping.com/shop/H6WoWt0BH218WTd6
上海市,上海市,新天地/马当路,美食,NowOnCheese·東京·新宿(新天地店),k4BAJRIqEYPiUR56,62,新天地/马当路,http://www.dianping.com/shop/k4BAJRIqEYPiUR56
上海市,上海市,新天地/马当路,美食,specialdiscount,G7Q9pAdOGLInRevI,,新天地/马当路,http://www.dianping.com/shop/G7Q9pAdOGLInRevI
上海市,上海市,新天地/马当路,美食,TBS咖啡,k4zcBTdsSgl6egM5,,新天地/马当路,http://www.dianping.com/shop/k4zcBTdsSgl6egM5
上海市,上海市,新天地/马当路,美食,Peet'sCoffee皮爷咖啡(凯德晶萃店),HawEfkH4A0RSjKgT,38,新天地/马当路,http://www.dianping.com/shop/HawEfkH4A0RSjKgT
上海市,上海市,新天地/马当路,美食,李忠华,G5BcUTXJQmawVTem,,新天地/马当路,http://www.dianping.com/shop/G5BcUTXJQmawVTem
上海市,上海市,新天地/马当路,美食,阿模灵白斩鸡(马当店),l4flcv5rSGYGf5I5,46,新天地/马当路,http://www.dianping.com/shop/l4flcv5rSGYGf5I5
上海市,上海市,新天地/马当路,美食,马记永·兰州牛肉面(无限极荟店),G7kTuO1sU90Rrr3H,43,新天地/马当路,http://www.dianping.com/shop/G7kTuO1sU90Rrr3H
上海市,上海市,新天地/马当路,美食,CRABHERO英雄蟹手抓海鲜(中海环宇荟店),l8I1532bskACfiSm,241,新天地/马当路,http://www.dianping.com/shop/l8I1532bskACfiSm
上海市,上海市,新天地/马当路,美食,迷尔喀什秘烤酒馆(环宇荟店),la6iWqpf1Xvhg6ph,111,新天地/马当路,http://www.dianping.com/shop/la6iWqpf1Xvhg6ph
上海市,上海市,新天地/马当路,美食,neighborscoffee,k1qkB1sFMGVJEfeN,39,新天地/马当路,http://www.dianping.com/shop/k1qkB1sFMGVJEfeN
上海市,上海市,新天地/马当路,美食,巴黎贝甜(红房子店),k55sSpnTKgoCmgtM,,新天地/马当路,http://www.dianping.com/shop/k55sSpnTKgoCmgtM
上海市,上海市,新天地/马当路,美食,百谷菜市(永年菜场店),G2OrQWwbKZcjPTEl,,新天地/马当路,http://www.dianping.com/shop/G2OrQWwbKZcjPTEl
上海市,上海市,新天地/马当路,美食,菜小睿(巨鹿马当店),kanljItrYsOJKUa2,,新天地/马当路,http://www.dianping.com/shop/kanljItrYsOJKUa2
上海市,上海市,新天地/马当路,美食,私町外带寿司,jkeuII5OWAGRGJKh,,新天地/马当路,http://www.dianping.com/shop/jkeuII5OWAGRGJKh
上海市,上海市,新天地/马当路,美食,粽子大王,k8oA4ObvnbAEEGzT,,新天地/马当路,http://www.dianping.com/shop/k8oA4ObvnbAEEGzT
上海市,上海市,新天地/马当路,美食,屋檐下老灶台(湖滨道购物中心店),l9rtqmsGJc3EAcAQ,33,新天地/马当路,http://www.dianping.com/shop/l9rtqmsGJc3EAcAQ
上海市,上海市,新天地/马当路,美食,每日黑巧(恒基旭辉店),jTTKxxdyneCBAoGm,27,新天地/马当路,http://www.dianping.com/shop/jTTKxxdyneCBAoGm
上海市,上海市,新天地/马当路,美食,来虎肉食者·烤肉酒馆(环宇荟店),H69VTbWtlyPuQ7tD,124,新天地/马当路,http://www.dianping.com/shop/H69VTbWtlyPuQ7tD
上海市,上海市,新天地/马当路,美食,7分甜(上海黄浦无限极荟店),G8Zu0VEDBCvndgHL,19,新天地/马当路,http://www.dianping.com/shop/G8Zu0VEDBCvndgHL
上海市,上海市,新天地/马当路,美食,黄鱼面,l24A4n1lfvKKo8Yv,,新天地/马当路,http://www.dianping.com/shop/l24A4n1lfvKKo8Yv
上海市,上海市,新天地/马当路,美食,博观悦取文创咖啡馆,k7caNzzOc2rVSob7,92,新天地/马当路,http://www.dianping.com/shop/k7caNzzOc2rVSob7
上海市,上海市,新天地/马当路,美食,破店小酒馆(淮海中路店),ietQFqCv1Lw5s9vB,82,新天地/马当路,http://www.dianping.com/shop/ietQFqCv1Lw5s9vB
上海市,上海市,新天地/马当路,美食,炒饭炒面,l68HKN8O5fUB01J0,,新天地/马当路,http://www.dianping.com/shop/l68HKN8O5fUB01J0
上海市,上海市,新天地/马当路,美食,瞪眼牛煎包·大锅牛肉汤(环宇荟店),iSksAAcjmfbPCwqR,25,新天地/马当路,http://www.dianping.com/shop/iSksAAcjmfbPCwqR
上海市,上海市,新天地/马当路,美食,雪域牛羊肉·牛肉面·羊肉串,k3fKPBYCOe5XEeuG,,新天地/马当路,http://www.dianping.com/shop/k3fKPBYCOe5XEeuG
上海市,上海市,新天地/马当路,美食,warming.(老城店),H4biHdAJy7cdMZW6,20,新天地/马当路,http://www.dianping.com/shop/H4biHdAJy7cdMZW6
上海市,上海市,新天地/马当路,美食,旺小胖小龙虾,G7TeCf6FKaUcnalQ,314,新天地/马当路,http://www.dianping.com/shop/G7TeCf6FKaUcnalQ
上海市,上海市,新天地/马当路,美食,馔玉(SOHO复兴广场店),k6fXv12qWp0MjFGH,114,新天地/马当路,http://www.dianping.com/shop/k6fXv12qWp0MjFGH
上海市,上海市,新天地/马当路,美食,宙司汇仪式感甜品·下午茶(凯德晶萃店),k8ITMGV2IhOmX5IM,153,新天地/马当路,http://www.dianping.com/shop/k8ITMGV2IhOmX5IM
上海市,上海市,新天地/马当路,美食,元朗冰室(新天地店),G4eSlSVgC5R570t0,79,新天地/马当路,http://www.dianping.com/shop/G4eSlSVgC5R570t0
上海市,上海市,新天地/马当路,美食,KIRAKU喜楽荟,H8LvI3rE5GqRe4T6,70,新天地/马当路,http://www.dianping.com/shop/H8LvI3rE5GqRe4T6
上海市,上海市,新天地/马当路,美食,宙司汇仪式感英式宫廷火锅(凯德晶萃店),H5KcHqkhh3E5BKMS,227,新天地/马当路,http://www.dianping.com/shop/H5KcHqkhh3E5BKMS
上海市,上海市,新天地/马当路,美食,大茴香越法料理(SOHO复兴店),k4kDi1fkQAfh9C5X,104,淮海路/陕西南路,http://www.dianping.com/shop/k4kDi1fkQAfh9C5X
上海市,上海市,新天地/马当路,美食,哈根达斯(新天地新店),l5F0TzsC5Rh1Rrlt,74,新天地/马当路,http://www.dianping.com/shop/l5F0TzsC5Rh1Rrlt
上海市,上海市,新天地/马当路,美食,花籠味日本料理,k3gR5L37uahdwOT8,739,新天地/马当路,http://www.dianping.com/shop/k3gR5L37uahdwOT8
上海市,上海市,新天地/马当路,美食,鸿馆,H4Aw18p3m4ImJ0Ir,465,淮海路/陕西南路,http://www.dianping.com/shop/H4Aw18p3m4ImJ0Ir
上海市,上海市,新天地/马当路,美食,OysterBay豪湾(新天地时尚店),k3nOqMQCRiDKHrGL,282,新天地/马当路,http://www.dianping.com/shop/k3nOqMQCRiDKHrGL
上海市,上海市,新天地/马当路,美食,饼神壹男(环宇荟店),H6SbR3eXVWzRmQ6r,24,淮海路/陕西南路,http://www.dianping.com/shop/H6SbR3eXVWzRmQ6r
上海市,上海市,新天地/马当路,美食,福悦楼酒家,H4lOhWUtQ4KV8Lhp,119,新天地/马当路,http://www.dianping.com/shop/H4lOhWUtQ4KV8Lhp
上海市,上海市,新天地/马当路,美食,大渔·金枪鱼海鲜饭(湖滨道店),GaGyl0HNWYpn3bUs,52,新天地/马当路,http://www.dianping.com/shop/GaGyl0HNWYpn3bUs
上海市,上海市,新天地/马当路,美食,汤滢炖品·粤菜小馆(新天地店),G2UsX51b9WzffeHi,90,新天地/马当路,http://www.dianping.com/shop/G2UsX51b9WzffeHi
上海市,上海市,新天地/马当路,美食,風林火山,l89OXL7MAUemToEZ,94,新天地/马当路,http://www.dianping.com/shop/l89OXL7MAUemToEZ
上海市,上海市,新天地/马当路,美食,森绿温馨小吃,k5sShAMBbO63xTf3,69,新天地/马当路,http://www.dianping.com/shop/k5sShAMBbO63xTf3
上海市,上海市,新天地/马当路,美食,京鮨(新天地店),i8tpvYVMfYPkQc9u,58,淮海路/陕西南路,http://www.dianping.com/shop/i8tpvYVMfYPkQc9u
上海市,上海市,新天地/马当路,美食,长安客(复兴SOHO店),k3DTqD61YrF0FnoQ,30,淮海路/陕西南路,http://www.dianping.com/shop/k3DTqD61YrF0FnoQ
上海市,上海市,新天地/马当路,美食,Sagreen沙绿轻食(淮海中路店),l4RXmn2Kn0wOFtoJ,44,淮海路/陕西南路,http://www.dianping.com/shop/l4RXmn2Kn0wOFtoJ
上海市,上海市,新天地/马当路,美食,南木SouthwoodTea,G7zzkY5TGunG6DnK,20,淮海路/陕西南路,http://www.dianping.com/shop/G7zzkY5TGunG6DnK
上海市,上海市,新天地/马当路,美食,PINKSJUICE,Gaq9jrxfJlCzUFg5,23,新天地/马当路,http://www.dianping.com/shop/Gaq9jrxfJlCzUFg5
上海市,上海市,新天地/马当路,美食,Mekalounge,G2cgoE3H7576mEnb,,新天地/马当路,http://www.dianping.com/shop/G2cgoE3H7576mEnb
上海市,上海市,新天地/马当路,美食,cheese&fizz(新天地店),G6fLMUbeTM2Wsa3P,119,新天地/马当路,http://www.dianping.com/shop/G6fLMUbeTM2Wsa3P
上海市,上海市,新天地/马当路,美食,沈阿姨油墩子面拖,G3XCR4UcqKptQoMh,10,新天地/马当路,http://www.dianping.com/shop/G3XCR4UcqKptQoMh
上海市,上海市,新天地/马当路,美食,心上签(lostrip店),Ha1idU54lD3g6JvR,69,新天地/马当路,http://www.dianping.com/shop/Ha1idU54lD3g6JvR
上海市,上海市,新天地/马当路,美食,巴比馒头(合肥路店),G2SCVC0b47f9dgUE,,新天地/马当路,http://www.dianping.com/shop/G2SCVC0b47f9dgUE
上海市,上海市,新天地/马当路,美食,果之满满鲜榨果汁吧(华府天地店),GaIleWjgZnhNWo14,21,淮海路/陕西南路,http://www.dianping.com/shop/GaIleWjgZnhNWo14
上海市,上海市,新天地/马当路,美食,浩仔烧烤,juJO8LKOoicUIY9N,,新天地/马当路,http://www.dianping.com/shop/juJO8LKOoicUIY9N
上海市,上海市,新天地/马当路,美食,聚欢楼,l39ENzFoi3vuedGm,,新天地/马当路,http://www.dianping.com/shop/l39ENzFoi3vuedGm
上海市,上海市,新天地/马当路,美食,崇明生鲜大卖场,iiXLM4WlIcDVsULw,,新天地/马当路,http://www.dianping.com/shop/iiXLM4WlIcDVsULw
上海市,上海市,新天地/马当路,美食,渝纳百川(新天地分店),k8c5KuyBelwgBfaJ,,新天地/马当路,http://www.dianping.com/shop/k8c5KuyBelwgBfaJ
上海市,上海市,新天地/马当路,美食,Superhuman,k2QH6uHUh9dtDeZD,,新天地/马当路,http://www.dianping.com/shop/k2QH6uHUh9dtDeZD
上海市,上海市,新天地/马当路,美食,欣水果园,k7f5v1J4PAhrI9GN,,新天地/马当路,http://www.dianping.com/shop/k7f5v1J4PAhrI9GN
上海市,上海市,新天地/马当路,美食,星主义火锅(环宇荟店),lamOH9vZGvCUrEZE,,新天地/马当路,http://www.dianping.com/shop/lamOH9vZGvCUrEZE
上海市,上海市,新天地/马当路,美食,汇乡生鲜,H43ekg29ZZZ3JAlU,,新天地/马当路,http://www.dianping.com/shop/H43ekg29ZZZ3JAlU
上海市,上海市,新天地/马当路,美食,湊湊火锅·茶憩(凯德LUONE店),G1JCXQd0gfmD71pa,,新天地/马当路,http://www.dianping.com/shop/G1JCXQd0gfmD71pa
上海市,上海市,新天地/马当路,美食,面匠神虎,igOD21uWvBPcNDWJ,34,新天地/马当路,http://www.dianping.com/shop/igOD21uWvBPcNDWJ
上海市,上海市,新天地/马当路,美食,研卤堂,G7wfl811fwWmvPc5,,新天地/马当路,http://www.dianping.com/shop/G7wfl811fwWmvPc5
上海市,上海市,新天地/马当路,美食,元元糕团,iPlEjvR8lKnlW31V,,新天地/马当路,http://www.dianping.com/shop/iPlEjvR8lKnlW31V
上海市,上海市,新天地/马当路,美食,SeesawCoffee(新天地南里店),H8iAN1XBIl3V1RPk,,新天地/马当路,http://www.dianping.com/shop/H8iAN1XBIl3V1RPk
上海市,上海市,新天地/马当路,美食,弄堂小笼包,G2AYy8quPmrHWQoI,,新天地/马当路,http://www.dianping.com/shop/G2AYy8quPmrHWQoI
上海市,上海市,新天地/马当路,美食,Favni&Q,H71WLn9i7HmE5t1o,,新天地/马当路,http://www.dianping.com/shop/H71WLn9i7HmE5t1o
上海市,上海市,新天地/马当路,美食,佳家湯包,l9VOJEa8oxnOdjHn,,新天地/马当路,http://www.dianping.com/shop/l9VOJEa8oxnOdjHn
上海市,上海市,新天地/马当路,美食,和菓子司いづみや,iMhqSdZbmw0bGurW,89,新天地/马当路,http://www.dianping.com/shop/iMhqSdZbmw0bGurW
上海市,上海市,新天地/马当路,美食,MILKCOFFEE(湖滨路店),kaAgvo5BDpEk04Yr,31,新天地/马当路,http://www.dianping.com/shop/kaAgvo5BDpEk04Yr
上海市,上海市,新天地/马当路,美食,gaga,l6Pp0ad60mIJ8tTJ,,新天地/马当路,http://www.dianping.com/shop/l6Pp0ad60mIJ8tTJ
上海市,上海市,新天地/马当路,美食,平价水产店,G2eZYogAMtARGU3J,,新天地/马当路,http://www.dianping.com/shop/G2eZYogAMtARGU3J
上海市,上海市,新天地/马当路,美食,松鹤楼(苏式汤面),G13hOq9qpOR8GEcR,,新天地/马当路,http://www.dianping.com/shop/G13hOq9qpOR8GEcR
