town,total_count,food,food_avg_spending,shopping,car,health,pet,education,life_service,entertainment,beauty,film_performance,sports,tourism,population_density
漕河泾街道,368,10,139.1,9,53,69,12,18,32,13,8,5,20,13,13660.61195
四平路街道,366,28,94.03571429,35,36,19,3,44,52,22,26,3,27,5,25571.05615
桃浦镇,364,8,100.5,21,91,60,11,25,55,11,18,3,24,22,7512.421327
枫林路街道,360,6,52.16666667,15,36,73,2,14,33,10,12,5,26,12,30495.62804
江宁路街道,356,22,208.5909091,11,47,43,10,27,41,28,18,10,44,21,29736.95192
杨行镇,356,42,156.8571429,21,96,31,7,16,38,28,7,4,26,8,3762.674087
泗泾镇,350,48,77.33333333,29,29,37,12,28,59,15,28,1,22,11,2886.717025
斜土路街道,347,29,128.5172414,22,47,45,13,15,44,22,26,9,30,12,15906.30516
北站街道,330,16,198.3125,45,47,13,8,17,30,11,7,13,9,19,32342.37627
大桥街道,327,49,85.89795918,21,56,52,8,14,42,17,13,4,16,16,20687.76785
枫泾镇,323,0,,55,46,36,3,17,33,33,25,2,3,34,658.1882575
半淞园路街道,319,4,483,4,63,40,12,55,38,19,6,8,26,11,22954.08258
赵巷镇,314,2,172,79,34,34,11,24,51,14,20,4,9,9,1470.991169
周浦镇,304,44,153.7272727,16,39,19,12,24,22,12,32,8,15,3,2519.603685
淞南镇,300,24,56.25,24,59,24,13,8,31,32,3,8,49,16,6559.596871
潍坊新村街道,299,44,189.8409091,34,22,31,6,18,61,22,28,4,11,2,19572.40126
金山卫镇,295,0,,30,104,36,1,42,19,21,28,1,5,6,963.7237011
欧阳路街道,291,2,104,22,41,32,4,34,39,23,25,3,23,8,31980.50309
三林镇,289,27,184.4074074,20,44,27,35,22,24,24,17,4,29,2,7715.024326
江川路街道,288,0,,21,47,34,18,13,18,24,13,7,27,24,5556.855986
香花桥街道,285,0,,3,74,58,8,32,48,17,14,0,9,10,1107.242978
江湾镇街道,281,0,,25,64,38,8,38,40,14,13,1,14,16,22220.05035
仙霞新村街道,280,38,204.5,27,26,30,4,25,26,19,19,3,22,5,27113.59736
华漕镇,277,1,799,10,27,124,4,9,22,4,8,4,12,11,5007.933697
曹家渡街道,275,19,120.0526316,13,27,38,5,39,42,23,16,3,20,13,35126.41358
凉城新村街道,265,0,,30,58,29,8,45,25,20,28,0,11,4,22051.14645
罗店镇,263,50,70.08,15,27,35,18,7,19,19,7,3,20,21,1938.934458
古美街道,260,1,207,14,19,37,17,13,21,49,19,0,47,9,17571.9868
五里桥街道,258,1,319,7,45,40,3,42,38,19,10,2,33,16,19455.99388
共和新路街道,256,16,119.375,27,36,36,11,26,28,7,9,2,26,11,26082.07406
张庙街道,254,62,85.22580645,15,32,38,6,23,27,14,11,1,10,4,26291.26795
程家桥街道,253,12,457.9166667,14,59,26,7,11,14,6,8,0,19,13,2267.886856
高行镇,244,11,112.2727273,7,51,42,12,18,4,28,12,5,43,3,4454.567035
石门二路街道,242,20,163.6,24,37,16,1,4,36,13,15,8,19,15,23347.1642
石泉路街道,239,4,60,23,26,51,4,13,26,30,3,2,27,13,24988.68275
庙行镇,234,50,102.52,18,18,14,6,17,18,31,17,3,24,11,10915.07439
北蔡镇,232,28,108.9285714,19,41,31,22,15,14,15,19,3,15,2,9018.639742
芷江西路街道,231,3,186.3333333,5,44,67,4,17,13,5,3,0,16,18,34461.00096
定海路街道,230,15,101.2,40,50,30,8,18,18,8,1,2,19,9,11700.15268
小东门街道,229,7,319.1428571,12,53,21,2,18,31,19,6,10,9,28,20808.6987
亭林镇,228,0,,20,63,26,1,44,19,19,18,1,1,10,1180.169016
新江湾城街道,223,15,102,21,30,12,12,34,30,12,12,3,25,6,2263.139569
殷行街道,221,20,79.45,14,32,47,10,21,22,13,7,2,16,11,14734.09521
菊园新区,214,46,91.26086957,16,27,16,2,18,21,10,12,1,14,12,2355.516631
颛桥镇,213,0,,25,23,28,26,14,14,9,9,7,17,16,5490.421797
控江路街道,209,10,96.1,9,30,56,11,8,32,7,19,5,10,3,35971.44853
宜川路街道,209,1,33,20,35,25,13,18,40,10,10,0,21,3,36483.54438
金杨新村街道,208,34,147.2941176,16,25,41,15,15,16,7,19,3,9,0,18790.719
塘桥街道,207,32,129.625,28,14,29,10,13,34,11,4,3,18,1,14713.58003
豫园街道,204,1,132,10,43,13,3,28,16,7,9,8,12,28,37182.67678
青村镇,201,0,,31,39,34,6,34,0,11,18,3,5,16,895.1404532
甘泉路街道,198,2,38,21,36,30,7,13,20,14,8,2,31,7,34722.52255
洋泾街道,198,8,78.75,16,17,32,14,16,16,34,14,3,22,3,14346.53954
康桥镇,196,18,106,4,36,10,14,12,12,9,10,2,16,1,3073.647059
康健新村街道,193,2,168.5,3,29,32,7,24,18,4,5,2,18,14,18007.89806
吴淞街道,193,26,90.07692308,11,24,26,7,11,25,16,2,0,19,19,8024.14336
老西门街道,192,4,66.25,1,31,26,8,22,36,6,17,0,16,9,43881.81142
上海市奉贤区海湾旅游区,190,0,,7,19,7,4,30,0,10,8,0,9,24,359.7656668
张江高科技园区,177,44,139.2727273,14,8,17,28,11,13,9,8,5,15,2,1091.183557
金汇镇,174,0,,27,34,26,4,26,1,14,11,4,3,16,1092.957542
永丰街道,174,32,102.5,20,21,28,7,16,18,7,1,2,8,8,2788.129849
月浦镇,172,18,76.88888889,10,19,50,10,7,14,6,2,1,18,15,1942.777661
惠南镇,169,18,134,16,15,20,17,18,17,7,9,8,2,1,2354.738789
龙华街道,168,5,111,5,34,18,6,5,11,11,8,9,21,21,10222.38026
海湾镇,167,0,,7,17,33,5,42,0,17,5,3,7,11,170.5634658
车墩镇,161,8,105.75,7,27,69,1,2,5,6,0,3,6,12,2456.64065
曹杨新村街道,157,4,28.5,12,29,31,8,11,25,5,5,1,14,4,34341.96918
祝桥镇,157,16,69.5,26,20,6,12,1,4,3,1,3,3,3,304.5393432
周家渡街道,152,20,305.8,25,14,10,7,10,16,6,8,14,9,3,18142.71568
白鹤镇,150,0,,3,25,39,4,20,12,20,9,0,3,11,1148.627218
凌云路街道,149,0,,2,15,24,13,39,14,13,1,12,7,4,22143.67911
延吉新村街道,149,9,68.66666667,10,14,17,5,11,13,10,2,1,28,5,33595.04557
北新泾街道,148,7,64.28571429,13,21,24,6,16,16,10,12,1,5,7,23560.95997
徐行镇,148,10,74.6,7,32,25,3,8,16,9,1,0,9,22,1175.510152
虹梅路街道,145,10,78.8,10,29,26,1,5,22,3,6,4,2,7,12689.6551
长桥街道,145,3,104,1,20,37,9,7,10,7,5,0,18,6,14778.69787
宝山路街道,144,7,95.57142857,14,25,27,8,8,13,9,4,1,15,9,36249.75684
