,k_index,加权合计POI,人口密度,商铺人均消费,房价,不加权POI合计,经度,纬度,normalized_density_town,normalized_density_district,housing_town,housing_district,geometry
32,32,12.95,963.7237011,0.0,0.0,14,135.0067251,35.99497074,-0.4534977701390642,-0.3724259529088144,-7.991702156825272,-2.9925467763309075,POINT (135.0067251 35.99497074)
33,33,146.01,963.7237011,0.0,0.0,53,135.0245013,35.99497074,-0.3273464646082261,-0.15791460435077947,-7.991702156825272,-2.9925467763309075,POINT (135.0245013 35.99497074)
34,34,261.08,963.7237011,0.0,1277439.024,246,135.0422775,35.99497074,0.2969407653264344,0.9036415564620601,588.2586378989247,134.3537321220328,POINT (135.0422775 35.99497074)
35,35,405.74,988.8263766,85.66666667,2686666.667,369,135.0600537,35.99497074,0.6948025750775393,1.5801773480681702,802.8851630788046,285.86951428492506,POINT (135.0600537 35.99497074)
36,36,316.45,991.9977776,803.9107143,1510000.0,340,135.07783,35.99497074,0.20925636877515455,1.420668909396811,448.47847675830525,159.35796643026202,POINT (135.07783 35.99497074)
37,37,124.63,990.1136933,0.0,1480000.0,208,135.0956062,35.99497074,-0.11840207581968404,0.6946304988926927,439.4426122371129,156.13245954536285,POINT (135.0956062 35.99497074)
38,38,23.08,990.1136933,0.0,0.0,34,135.1133824,35.99497074,-0.5727527017080374,-0.26242013313546314,-6.326704141710724,-2.9925467763309075,POINT (135.1133824 35.99497074)
39,39,1.35,990.1136933,0.0,0.0,2,135.1311586,35.99497074,-0.6563114375035967,-0.43842944477282514,-6.326704141710724,-2.9925467763309075,POINT (135.1311586 35.99497074)
41,41,4.73,963.7237011,0.0,0.0,2,134.9533964,36.01009222,-0.4923135564562452,-0.43842944477282514,-7.991702156825272,-2.9925467763309075,POINT (134.9533964 36.01009222)
42,42,15.81,963.7237011,0.0,0.0,23,134.9711726,36.01009222,-0.4243859304011785,-0.32292333401080636,-7.991702156825272,-2.9925467763309075,POINT (134.9711726 36.01009222)
43,43,9.3,963.7237011,0.0,0.0,23,134.9889488,36.01009222,-0.4243859304011785,-0.32292333401080636,-7.991702156825272,-2.9925467763309075,POINT (134.9889488 36.01009222)
44,44,10.3,963.7237011,0.0,0.0,13,135.0067251,36.01009222,-0.45673241899882927,-0.377926243897482,-7.991702156825272,-2.9925467763309075,POINT (135.0067251 36.01009222)
45,45,70.07,963.7237011,0.0,0.0,20,135.0245013,36.01009222,-0.43408987698047374,-0.33942420697680903,-7.991702156825272,-2.9925467763309075,POINT (135.0245013 36.01009222)
46,46,1180.14,963.7237011,0.0,1554545.455,179,135.0422775,36.01009222,0.08021929172217403,0.5351220602213334,717.5992957395022,164.1473554900443,POINT (135.0422775 36.01009222)
47,47,807.46,989.4640395,1023.5,2240000.0,1503,135.0600537,36.01009222,4.36289438205114,7.817507329217186,668.3511801073197,237.84530062947582,POINT (135.0600537 36.01009222)
48,48,425.18,990.1136933,93.0,1935000.0,598,135.07783,36.01009222,0.8999700166886943,2.839743984473042,576.4865574751972,205.05264729966734,POINT (135.07783 36.01009222)
49,49,82.3,990.1136933,0.0,0.0,181,135.0956062,36.01009222,-0.18890475914718716,0.5461226421986686,-6.326704141710724,-2.9925467763309075,POINT (135.0956062 36.01009222)
50,50,16.72,990.1136933,0.0,0.0,33,135.1133824,36.01009222,-0.5753639122016486,-0.2679204241241307,-6.326704141710724,-2.9925467763309075,POINT (135.1133824 36.01009222)
51,51,1.0,625.2054065,0.0,0.0,5,135.1311586,36.01009222,-0.4919882362691013,-0.42192857180682247,-7.9987598824831325,-2.9925467763309075,POINT (135.1311586 36.01009222)
54,54,15.55,963.7237011,0.0,0.0,22,134.9533964,36.0252137,-0.42762057926094355,-0.3284236249994739,-7.991702156825272,-2.9925467763309075,POINT (134.9533964 36.0252137)
55,55,15.78,963.7237011,0.0,0.0,21,134.9711726,36.0252137,-0.43085522812070864,-0.3339239159881415,-7.991702156825272,-2.9925467763309075,POINT (134.9711726 36.0252137)
56,56,9.58,963.7237011,0.0,0.0,18,134.9889488,36.0252137,-0.4405591747000039,-0.35042478895414414,-7.991702156825272,-2.9925467763309075,POINT (134.9889488 36.0252137)
57,57,17.46,963.7237011,0.0,0.0,19,135.0067251,36.0252137,-0.4373245258402388,-0.3449244979654766,-7.991702156825272,-2.9925467763309075,POINT (135.0067251 36.0252137)
58,58,2.0,963.7237011,0.0,0.0,18,135.0245013,36.0252137,-0.4405591747000039,-0.35042478895414414,-7.991702156825272,-2.9925467763309075,POINT (135.0245013 36.0252137)
59,59,17.48,963.7237011,0.0,0.0,18,135.0422775,36.0252137,-0.4405591747000039,-0.35042478895414414,-7.991702156825272,-2.9925467763309075,POINT (135.0422775 36.0252137)
60,60,36.85,983.0671666,0.0,0.0,41,135.0600537,36.0252137,-0.36616225092540705,-0.22391809621479022,-7.473741803258577,-2.9925467763309075,POINT (135.0600537 36.0252137)
61,61,249.29,990.1136933,51.0,1770000.0,99,135.07783,36.0252137,-0.4030240196233077,0.0950987811279284,526.7893026086391,187.31235943272173,POINT (135.07783 36.0252137)
62,62,276.76,990.1136933,126.5,0.0,386,135.0956062,36.0252137,0.34639339204311426,1.6736822948755188,-6.326704141710724,-2.9925467763309075,POINT (135.0956062 36.0252137)
63,63,72.89,990.1136933,0.0,0.0,140,135.1133824,36.0252137,-0.29596438938524744,0.32061071166329846,-6.326704141710724,-2.9925467763309075,POINT (135.1133824 36.0252137)
64,64,14.07,584.6600413,0.0,0.0,27,135.1311586,36.0252137,-0.15554139084474244,-0.3009221700561361,-6.326704141710724,-2.9925467763309075,POINT (135.1311586 36.0252137)
65,65,0.0,381.9332153,0.0,0.0,1,135.1489349,36.0252137,-0.5531603899826212,-0.4439297357614927,-7.9987598824831325,-2.9925467763309075,POINT (135.1489349 36.0252137)
66,66,0.0,381.9332153,0.0,0.0,1,135.1667111,36.0252137,-0.5531603899826212,-0.4439297357614927,-7.9987598824831325,-2.9925467763309075,POINT (135.1667111 36.0252137)
68,68,1.0,519.790184,0.0,0.0,1,134.8289628,36.04033519,-0.5943457774062703,-0.4439297357614927,-3.5528812841371087,-2.9925467763309075,POINT (134.8289628 36.04033519)
69,69,13.16,519.790184,0.0,0.0,6,134.846739,36.04033519,-0.49054287217064424,-0.4164282808181549,-3.5528812841371087,-2.9925467763309075,POINT (134.846739 36.04033519)
70,70,13.37,519.790184,0.0,0.0,15,134.8645153,36.04033519,-0.30369764274651734,-0.36692566192014686,-3.5528812841371087,-2.9925467763309075,POINT (134.8645153 36.04033519)
71,71,25.08,519.790184,51.0,0.0,40,134.8822915,36.04033519,0.21531688343161284,-0.22941838720345778,-3.5528812841371087,-2.9925467763309075,POINT (134.8822915 36.04033519)
72,72,16.36,519.790184,0.0,0.0,16,134.9000677,36.04033519,-0.28293706169939215,-0.36142537093147925,-3.5528812841371087,-2.9925467763309075,POINT (134.9000677 36.04033519)
73,73,0.0,519.790184,0.0,0.0,1,134.9178439,36.04033519,-0.5943457774062703,-0.4439297357614927,-3.5528812841371087,-2.9925467763309075,POINT (134.9178439 36.04033519)
74,74,5.1,963.7237011,0.0,0.0,2,134.9356202,36.04033519,-0.4923135564562452,-0.43842944477282514,-7.991702156825272,-2.9925467763309075,POINT (134.9356202 36.04033519)
75,75,144.93,963.7237011,0.0,0.0,28,134.9533964,36.04033519,-0.40821268610235306,-0.29542187906746853,-7.991702156825272,-2.9925467763309075,POINT (134.9533964 36.04033519)
76,76,162.22,963.7237011,0.0,0.0,281,134.9711726,36.04033519,0.41015347541821223,1.096151741065425,-7.991702156825272,-2.9925467763309075,POINT (134.9711726 36.04033519)
77,77,5.95,872.049888,0.0,0.0,12,134.9889488,36.04033519,-0.48334007994734224,-0.38342653488614953,-7.991702156825272,-2.9925467763309075,POINT (134.9889488 36.04033519)
78,78,23.71,790.0259499,0.0,0.0,19,135.0067251,36.04033519,-0.4373245258402388,-0.3449244979654766,-7.473741803258577,-2.9925467763309075,POINT (135.0067251 36.04033519)
79,79,29.81,780.3760749,0.0,0.0,62,135.0245013,36.04033519,0.035265156047660146,-0.1084119854527714,-7.473741803258577,-2.9925467763309075,POINT (135.0245013 36.04033519)
80,80,23.69,793.9573805,0.0,0.0,27,135.0422775,36.04033519,-0.3277585091488415,-0.3009221700561361,-7.991702156825272,-2.9925467763309075,POINT (135.0422775 36.04033519)
81,81,16.31,942.1736662,0.0,0.0,35,135.0600537,36.04033519,-0.24478167138964113,-0.2569198421467956,-7.473741803258577,-2.9925467763309075,POINT (135.0600537 36.04033519)
82,82,42.66,990.1136933,0.0,0.0,37,135.07783,36.04033519,-0.5649190702272038,-0.24591926016946047,-6.326704141710724,-2.9925467763309075,POINT (135.07783 36.04033519)
83,83,77.67,990.1136933,0.0,0.0,110,135.0956062,36.04033519,-0.37430070419358424,0.15560198200327158,-6.326704141710724,-2.9925467763309075,POINT (135.0956062 36.04033519)
84,84,0.0,888.7502803,0.0,0.0,18,135.1133824,36.04033519,-0.293178736700162,-0.35042478895414414,-6.326704141710724,-2.9925467763309075,POINT (135.1133824 36.04033519)
85,85,1.0,468.8161407,0.0,0.0,7,135.1311586,36.04033519,-0.6432553850355406,-0.41092798982948736,-6.326704141710724,-2.9925467763309075,POINT (135.1311586 36.04033519)
86,86,12.22,381.9332153,0.0,0.0,19,135.1489349,36.04033519,-0.27788569827178206,-0.3449244979654766,-7.9987598824831325,-2.9925467763309075,POINT (135.1489349 36.04033519)
87,87,2.33,381.9332153,0.0,0.0,5,135.1667111,36.04033519,-0.4919882362691013,-0.42192857180682247,-7.9987598824831325,-2.9925467763309075,POINT (135.1667111 36.04033519)
88,88,3.3,381.9332153,0.0,0.0,6,135.1844873,36.04033519,-0.4766951978407214,-0.4164282808181549,-7.9987598824831325,-2.9925467763309075,POINT (135.1844873 36.04033519)
89,89,1.35,381.9332153,0.0,0.0,3,135.2022635,36.04033519,-0.5225743131258612,-0.4329291537841576,-7.9987598824831325,-2.9925467763309075,POINT (135.2022635 36.04033519)
91,91,16.99,519.790184,0.0,0.0,14,134.8289628,36.05545667,-0.32445822379364253,-0.3724259529088144,-3.5528812841371087,-2.9925467763309075,POINT (134.8289628 36.05545667)
92,92,22.53,519.790184,65.0,0.0,16,134.846739,36.05545667,-0.28293706169939215,-0.36142537093147925,-3.5528812841371087,-2.9925467763309075,POINT (134.846739 36.05545667)
93,93,40.27,519.790184,412.0,0.0,55,134.8645153,36.05545667,0.5267255991384909,-0.14691402237344434,-3.5528812841371087,-2.9925467763309075,POINT (134.8645153 36.05545667)
94,94,137.6,519.790184,178.0,0.0,21,134.8822915,36.05545667,-0.1791341564637661,-0.3339239159881415,-3.5528812841371087,-2.9925467763309075,POINT (134.8822915 36.05545667)
95,95,181.08,519.790184,0.0,0.0,292,134.9000677,36.05545667,5.446983307307165,1.1566549419407681,-3.5528812841371087,-2.9925467763309075,POINT (134.9000677 36.05545667)
96,96,32.75,519.790184,0.0,0.0,33,134.9178439,36.05545667,0.06999281610173638,-0.2679204241241307,-3.5528812841371087,-2.9925467763309075,POINT (134.9178439 36.05545667)
97,97,13.36,519.790184,0.0,950000.0,26,134.9356202,36.05545667,-0.07533125122814006,-0.30642246104480364,119.88986593903641,99.14850457881035,POINT (134.9356202 36.05545667)
98,98,9.4,786.1502942,0.0,0.0,10,134.9533964,36.05545667,-0.4664363655781245,-0.39442711686348464,-7.991702156825272,-2.9925467763309075,POINT (134.9533964 36.05545667)
99,99,35.58,846.9935523,0.0,0.0,52,134.9711726,36.05545667,0.46444385599711535,-0.16341489533944703,-7.473741803258577,-2.9925467763309075,POINT (134.9711726 36.05545667)
100,100,25.55,780.3760749,0.0,0.0,38,134.9889488,36.05545667,-0.21366535722994098,-0.24041896918079292,-7.473741803258577,-2.9925467763309075,POINT (134.9889488 36.05545667)
101,101,7.28,780.3760749,0.0,0.0,18,135.0067251,36.05545667,-0.42110745162794194,-0.35042478895414414,-7.473741803258577,-2.9925467763309075,POINT (135.0067251 36.05545667)
102,102,6.95,780.3760749,114.0,0.0,20,135.0245013,36.05545667,-0.40036324218814184,-0.33942420697680903,-7.473741803258577,-2.9925467763309075,POINT (135.0245013 36.05545667)
103,103,31.88,780.3760749,0.0,0.0,48,135.0422775,36.05545667,-0.10994431003094052,-0.18541605929411728,-7.473741803258577,-2.9925467763309075,POINT (135.0422775 36.05545667)
104,104,24.06,970.138682,731.0,0.0,42,135.0600537,36.05545667,-0.5518630177591476,-0.21841780522612267,-6.326704141710724,-2.9925467763309075,POINT (135.0600537 36.05545667)
105,105,51.26,990.1136933,2503.5,0.0,59,135.07783,36.05545667,-0.5074724393677568,-0.1249128584187741,-6.326704141710724,-2.9925467763309075,POINT (135.07783 36.05545667)
106,106,27.54,978.63859,0.0,0.0,53,135.0956062,36.05545667,0.24207760829313626,-0.15791460435077947,-7.9987598824831325,-2.9925467763309075,POINT (135.0956062 36.05545667)
107,107,18.9,381.9332153,0.0,0.0,25,135.1133824,36.05545667,-0.18612746770150235,-0.3119227520334712,-7.9987598824831325,-2.9925467763309075,POINT (135.1133824 36.05545667)
108,108,29.32,381.9332153,0.0,0.0,13,135.1311586,36.05545667,-0.36964392884206176,-0.377926243897482,-7.9987598824831325,-2.9925467763309075,POINT (135.1311586 36.05545667)
109,109,53.21,381.9332153,36.0,0.0,84,135.1489349,36.05545667,0.7161617995729147,0.012594416297914966,-7.9987598824831325,-2.9925467763309075,POINT (135.1489349 36.05545667)
110,110,39.11,381.9332153,0.0,0.0,62,135.1667111,36.05545667,0.3797149541485558,-0.1084119854527714,-7.9987598824831325,-2.9925467763309075,POINT (135.1667111 36.05545667)
111,111,5.98,381.9332153,0.0,0.0,11,135.1844873,36.05545667,-0.40023000569882167,-0.3889268258748171,-7.9987598824831325,-2.9925467763309075,POINT (135.1844873 36.05545667)
112,112,3.45,401.6804765,0.0,0.0,10,135.2022635,36.05545667,-0.6295390523775419,-0.39442711686348464,-7.9987598824831325,-2.9925467763309075,POINT (135.2022635 36.05545667)
113,113,2.33,414.8453173,0.0,0.0,3,135.2200397,36.05545667,-0.7528946775055738,-0.4456630724160454,-11.173597134984321,-6.145213399138801,POINT (135.2200397 36.05545667)
117,117,23.03,519.790184,0.0,0.0,36,134.846739,36.07057815,0.13227455924311202,-0.25141955115812803,-3.5528812841371087,-2.9925467763309075,POINT (134.846739 36.07057815)
118,118,8.94,519.790184,0.0,0.0,13,134.8645153,36.07057815,-0.3452188048407678,-0.377926243897482,-3.5528812841371087,-2.9925467763309075,POINT (134.8645153 36.07057815)
119,119,16.93,519.790184,0.0,0.0,12,134.8822915,36.07057815,-0.36597938588789297,-0.38342653488614953,-3.5528812841371087,-2.9925467763309075,POINT (134.8822915 36.07057815)
120,120,25.36,519.790184,0.0,0.0,35,134.9000677,36.07057815,0.1115139781959868,-0.2569198421467956,-3.5528812841371087,-2.9925467763309075,POINT (134.9000677 36.07057815)
121,121,15.58,519.790184,0.0,0.0,28,134.9178439,36.07057815,-0.03381008913388965,-0.29542187906746853,-3.5528812841371087,-2.9925467763309075,POINT (134.9178439 36.07057815)
122,122,2.35,519.790184,0.0,0.0,13,134.9356202,36.07057815,-0.3452188048407678,-0.377926243897482,-3.5528812841371087,-2.9925467763309075,POINT (134.9356202 36.07057815)
123,123,18.63,529.2279723,0.0,0.0,28,134.9533964,36.07057815,-0.03381008913388965,-0.29542187906746853,-3.5528812841371087,-2.9925467763309075,POINT (134.9533964 36.07057815)
124,124,21.84,762.6923138,0.0,0.0,22,134.9711726,36.07057815,-0.2835121026812053,-0.3284236249994739,-3.5528812841371087,-2.9925467763309075,POINT (134.9711726 36.07057815)
125,125,266.28,780.3760749,0.0,0.0,71,134.9889488,36.07057815,0.12861409852676056,-0.058909366554763344,-7.473741803258577,-2.9925467763309075,POINT (134.9889488 36.07057815)
126,126,327.79,780.3760749,118.0,0.0,509,135.0067251,36.07057815,4.6715959658429815,2.350218086481629,-7.473741803258577,-2.9925467763309075,POINT (135.0067251 36.07057815)
127,127,85.97,780.3760749,0.0,0.0,131,135.0245013,36.07057815,0.7509403817207635,0.2711080927652904,-7.473741803258577,-2.9925467763309075,POINT (135.0245013 36.07057815)
128,128,15.88,780.3760749,0.0,0.0,31,135.0422775,36.07057815,-0.28627009026924133,-0.27892100610146586,-7.473741803258577,-2.9925467763309075,POINT (135.0422775 36.07057815)
129,129,20.74,0.0,0.0,0.0,33,135.0600537,36.07057815,-0.31642954590837186,-0.2679204241241307,-7.428202287743937,-2.9925467763309075,POINT (135.0600537 36.07057815)
130,130,14.65,990.1136933,0.0,0.0,23,135.07783,36.07057815,-0.6014760171377609,-0.32292333401080636,-7.428202287743937,-2.9925467763309075,POINT (135.07783 36.07057815)
131,131,30.55,488.3647989,0.0,0.0,40,135.0956062,36.07057815,0.04326810872419692,-0.22941838720345778,-6.326704141710724,-2.9925467763309075,POINT (135.0956062 36.07057815)
132,132,18.04,381.9332153,0.0,0.0,21,135.1133824,36.07057815,-0.24729962141502213,-0.3339239159881415,-7.9987598824831325,-2.9925467763309075,POINT (135.1133824 36.07057815)
133,133,227.58,381.9332153,0.0,0.0,57,135.1311586,36.07057815,0.3032497620066561,-0.13591344039610923,-7.9987598824831325,-2.9925467763309075,POINT (135.1311586 36.07057815)
134,134,262.92,381.9332153,0.0,0.0,423,135.1489349,36.07057815,5.900501826793717,1.8771930614562187,-7.9987598824831325,-2.9925467763309075,POINT (135.1489349 36.07057815)
135,135,63.63,381.9332153,175.0,0.0,91,135.1667111,36.07057815,0.8232130685715744,0.051096453218587905,-7.9987598824831325,-2.9925467763309075,POINT (135.1667111 36.07057815)
136,136,6.75,381.9332153,0.0,0.0,12,135.1844873,36.07057815,-0.3849369672704417,-0.38342653488614953,-7.9987598824831325,-2.9925467763309075,POINT (135.1844873 36.07057815)
137,137,14.87,408.6742981,0.0,0.0,16,135.2022635,36.07057815,-0.5238056594106575,-0.3777386069587328,-11.173597134984321,-6.145213399138801,POINT (135.2022635 36.07057815)
138,138,8.96,414.8453173,0.0,0.0,9,135.2200397,36.07057815,-0.6471612845386893,-0.41431331912805497,-11.173597134984321,-6.145213399138801,POINT (135.2200397 36.07057815)
144,144,0.0,658.1882575,0.0,0.0,3,134.7400817,36.08569964,-0.39818517033664286,-0.4329291537841576,-3.891878999164313,-2.9925467763309075,POINT (134.7400817 36.08569964)
145,145,2.18,519.790184,0.0,0.0,1,134.8289628,36.08569964,-0.5943457774062703,-0.4439297357614927,-3.5528812841371087,-2.9925467763309075,POINT (134.8289628 36.08569964)
146,146,12.5,519.790184,0.0,0.0,15,134.846739,36.08569964,-0.30369764274651734,-0.36692566192014686,-3.5528812841371087,-2.9925467763309075,POINT (134.846739 36.08569964)
147,147,21.09,519.790184,0.0,0.0,28,134.8645153,36.08569964,-0.03381008913388965,-0.29542187906746853,-3.5528812841371087,-2.9925467763309075,POINT (134.8645153 36.08569964)
148,148,9.72,519.790184,0.0,0.0,12,134.8822915,36.08569964,-0.36597938588789297,-0.38342653488614953,-3.5528812841371087,-2.9925467763309075,POINT (134.8822915 36.08569964)
149,149,14.18,519.790184,0.0,0.0,21,134.9000677,36.08569964,-0.1791341564637661,-0.3339239159881415,-3.5528812841371087,-2.9925467763309075,POINT (134.9000677 36.08569964)
150,150,6.07,548.1035491,0.0,0.0,14,134.9178439,36.08569964,-0.4455190184990369,-0.3724259529088144,-4.657606492068283,-2.9925467763309075,POINT (134.9178439 36.08569964)
151,151,14.31,530.8009371,0.0,0.0,24,134.9356202,36.08569964,-0.24301037372674741,-0.31742304302213875,-4.657606492068283,-2.9925467763309075,POINT (134.9356202 36.08569964)
152,152,5.68,625.4934137,0.0,0.0,10,134.9533964,36.08569964,-0.4075005479821434,-0.39442711686348464,-3.5528812841371087,-2.9925467763309075,POINT (134.9533964 36.08569964)
153,153,8.2,675.2750127,81.0,0.0,11,134.9711726,36.08569964,-0.5062716119307238,-0.3889268258748171,-4.657606492068283,-2.9925467763309075,POINT (134.9711726 36.08569964)
154,154,56.45,772.0885359,0.0,0.0,31,134.9889488,36.08569964,-0.28627009026924133,-0.27892100610146586,-7.473741803258577,-2.9925467763309075,POINT (134.9889488 36.08569964)
155,155,91.91,780.3760749,140.0,0.0,115,135.0067251,36.08569964,0.5849867062023627,0.1831034369466094,-7.473741803258577,-2.9925467763309075,POINT (135.0067251 36.08569964)
156,156,30.19,780.3760749,92.0,0.0,51,135.0245013,36.08569964,-0.07882799587124038,-0.16891518632811459,-7.473741803258577,-2.9925467763309075,POINT (135.0245013 36.08569964)
157,157,8.25,780.3760749,0.0,0.0,18,135.0422775,36.08569964,-0.42110745162794194,-0.35042478895414414,-7.428202287743937,-2.9925467763309075,POINT (135.0422775 36.08569964)
158,158,32.9,0.0,0.0,0.0,35,135.0600537,36.08569964,-0.29573147848522763,-0.2569198421467956,-7.428202287743937,-2.9925467763309075,POINT (135.0600537 36.08569964)
159,159,77.01,381.9332153,361.0,0.0,77,135.07783,36.08569964,0.6091105305742551,-0.025907620622757973,-7.9987598824831325,-2.9925467763309075,POINT (135.07783 36.08569964)
160,160,53.28,381.9332153,0.0,0.0,84,135.0956062,36.08569964,0.7161617995729147,0.012594416297914966,-7.9987598824831325,-2.9925467763309075,POINT (135.0956062 36.08569964)
161,161,2.52,381.9332153,0.0,0.0,7,135.1133824,36.08569964,-0.4614021594123414,-0.41092798982948736,-7.9987598824831325,-2.9925467763309075,POINT (135.1133824 36.08569964)
162,162,7.48,381.9332153,0.0,0.0,16,135.1311586,36.08569964,-0.3237648135569219,-0.36142537093147925,-7.9987598824831325,-2.9925467763309075,POINT (135.1311586 36.08569964)
163,163,5.1,381.9332153,565.0,0.0,16,135.1489349,36.08569964,-0.3237648135569219,-0.36142537093147925,-7.9987598824831325,-2.9925467763309075,POINT (135.1489349 36.08569964)
164,164,19.7,381.9332153,0.0,0.0,29,135.1667111,36.08569964,-0.12495531398798254,-0.289921588078801,-7.9987598824831325,-2.9925467763309075,POINT (135.1667111 36.08569964)
165,165,49.84,413.2780743,0.0,0.0,42,135.1844873,36.08569964,-0.06562762322082485,-0.21841780522612267,-11.173597134984321,-6.145213399138801,POINT (135.1844873 36.08569964)
166,166,58.3,414.8453173,566.0,0.0,70,135.2022635,36.08569964,0.42779487729130256,-0.0955908273668186,-11.173597134984321,-6.145213399138801,POINT (135.2022635 36.08569964)
167,167,26.41,414.8453173,0.0,0.0,27,135.2200397,36.08569964,-0.329961105638036,-0.3202640592640836,-11.173597134984321,-6.145213399138801,POINT (135.2200397 36.08569964)
